"Country","event_clarity","date_prec","year","longtitude","latitude"
"Myanmar (Burma)",1,1,2006,96.755197,19.089042
"Myanmar (Burma)",1,1,2001,99.605689,21.280781
"Myanmar (Burma)",1,1,1999,98.111969,21.102417
"Myanmar (Burma)",1,1,1997,98.111969,21.102417
"Myanmar (Burma)",1,1,1999,98.111969,21.102417
"Myanmar (Burma)",1,1,2003,98.111969,21.102417
"Myanmar (Burma)",1,1,2000,98.111969,21.102417
"Myanmar (Burma)",1,1,1997,98.111969,21.102417
"Myanmar (Burma)",1,1,1996,98.429888,21.304659
"Myanmar (Burma)",1,1,1998,98.111969,21.102417
"Myanmar (Burma)",1,1,1997,96.712703,18.859975
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,1995,96.784708,18.911781
"Myanmar (Burma)",1,1,1996,96.784708,18.911781
"Myanmar (Burma)",1,1,2008,96.784708,18.911781
"Myanmar (Burma)",1,1,2008,96.784708,18.911781
"Myanmar (Burma)",1,1,2001,96.758722,18.81995
"Myanmar (Burma)",1,1,1995,96.758722,18.81995
"Myanmar (Burma)",1,1,2007,96.758722,18.81995
"Myanmar (Burma)",1,1,2000,98.427942,21.301664
"Myanmar (Burma)",1,1,2003,98.429888,21.304659
"Myanmar (Burma)",1,1,1996,98.429888,21.304659
"Myanmar (Burma)",1,1,2003,98.427942,21.301664
"Myanmar (Burma)",1,1,2000,98.427942,21.301664
"Myanmar (Burma)",1,1,1997,98.427942,21.301664
"Myanmar (Burma)",1,1,2002,98.427942,21.301664
"Myanmar (Burma)",1,1,1999,98.427942,21.301664
"Myanmar (Burma)",1,1,2003,98.427942,21.301664
"Myanmar (Burma)",1,1,1997,98.427942,21.301664
"Myanmar (Burma)",1,1,2000,98.427942,21.301664
"Myanmar (Burma)",1,1,2000,98.427942,21.301664
"Myanmar (Burma)",1,1,1998,98.0,22.0
"Myanmar (Burma)",1,1,1999,98.429888,21.304659
"Myanmar (Burma)",1,1,1999,98.429888,21.304659
"Myanmar (Burma)",1,1,2003,98.429888,21.304659
"Myanmar (Burma)",1,1,2004,98.429888,21.304659
"Myanmar (Burma)",2,2,1999,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.429888,21.304659
"Myanmar (Burma)",2,4,1996,98.429888,21.304659
"Myanmar (Burma)",1,1,1996,98.429888,21.304659
"Myanmar (Burma)",1,1,2005,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2011,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",2,2,1997,98.429888,21.304659
"Myanmar (Burma)",1,1,2002,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.429888,21.304659
"Myanmar (Burma)",1,1,1999,98.429888,21.304659
"Myanmar (Burma)",1,1,1999,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,1998,98.429888,21.304659
"Myanmar (Burma)",1,1,2005,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2004,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2008,98.429888,21.304659
"Myanmar (Burma)",1,1,2004,98.429888,21.304659
"Myanmar (Burma)",1,1,2007,98.0,22.0
"Myanmar (Burma)",1,1,2012,98.0,22.0
"Myanmar (Burma)",1,1,2003,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,2003,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.429888,21.304659
"Myanmar (Burma)",1,1,2007,98.429888,21.304659
"Myanmar (Burma)",1,1,1994,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.429888,21.304659
"Myanmar (Burma)",1,1,1997,98.118161,16.038403
"Myanmar (Burma)",1,1,2003,98.429888,21.304659
"Myanmar (Burma)",1,1,2007,98.429888,21.304659
"Myanmar (Burma)",1,1,2000,98.429888,21.304659
"Myanmar (Burma)",1,1,1996,98.429888,21.304659
"Myanmar (Burma)",1,1,2011,97.940278,23.456667
"Myanmar (Burma)",1,2,2010,98.118161,16.038403
"Myanmar (Burma)",1,1,2000,98.118161,16.038403
"Myanmar (Burma)",1,1,2011,97.82099,21.929133
"Myanmar (Burma)",1,1,2008,98.394603,16.003333
"Myanmar (Burma)",1,1,2010,96.772247,18.327769
"Myanmar (Burma)",1,1,2006,96.729161,18.633767
"Myanmar (Burma)",1,1,2007,98.394603,16.003333
"Myanmar (Burma)",1,1,2007,96.772247,18.327769
"Myanmar (Burma)",1,1,2010,96.772247,18.327769
"Myanmar (Burma)",1,1,2010,96.772247,18.327769
"Myanmar (Burma)",1,1,2006,96.772247,18.327769
"Myanmar (Burma)",1,1,2004,96.772247,18.327769
"Myanmar (Burma)",1,1,2006,94.03112,19.917733
"Myanmar (Burma)",2,4,1995,93.955875,18.903206
"Myanmar (Burma)",1,1,2000,96.130278,21.613056
"Myanmar (Burma)",1,4,1998,97.33333,17.83333
"Myanmar (Burma)",1,4,1997,97.33333,17.83333
"Myanmar (Burma)",1,1,2002,97.75,17.5
"Myanmar (Burma)",1,2,2007,95.133333,20.833333
"Myanmar (Burma)",1,1,2008,94.03112,19.917733
"Myanmar (Burma)",2,2,2012,93.539136,19.43055
"Myanmar (Burma)",1,1,2005,97.05,22.5
"Myanmar (Burma)",1,2,2004,97.82099,21.929133
"Myanmar (Burma)",1,1,2009,97.82099,21.929133
"Myanmar (Burma)",1,1,2008,97.82099,21.929133
"Myanmar (Burma)",1,1,2008,97.82099,21.929133
"Myanmar (Burma)",1,1,1997,97.82099,21.929133
"Myanmar (Burma)",1,1,2000,97.82099,21.929133
"Myanmar (Burma)",1,1,2008,97.82099,21.929133
"Myanmar (Burma)",1,1,2008,97.82099,21.929133
"Myanmar (Burma)",1,2,2004,97.82099,21.929133
"Myanmar (Burma)",1,1,2000,97.82099,21.929133
"Myanmar (Burma)",1,1,1999,97.341751,19.49125
"Myanmar (Burma)",1,1,2011,97.82099,21.929133
"Myanmar (Burma)",1,1,2011,97.82099,21.929133
"Myanmar (Burma)",1,1,2004,92.399878,20.911642
"Myanmar (Burma)",1,4,1995,97.419536,17.455369
"Myanmar (Burma)",1,1,1999,97.341751,19.49125
"Myanmar (Burma)",1,1,2002,97.669144,21.271831
"Myanmar (Burma)",1,1,2002,97.669144,21.271831
"Myanmar (Burma)",1,1,2002,97.669144,21.271831
"Myanmar (Burma)",1,1,2000,97.669144,21.271831
"Myanmar (Burma)",1,1,2003,97.669144,21.271831
"Myanmar (Burma)",1,1,1996,97.668024,21.272245
"Myanmar (Burma)",1,1,1997,97.668024,21.272245
"Myanmar (Burma)",1,1,2004,97.668024,21.272245
"Myanmar (Burma)",1,1,2000,97.668024,21.272245
"Myanmar (Burma)",1,1,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,1997,97.668024,21.272245
"Myanmar (Burma)",1,4,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,1997,97.668024,21.272245
"Myanmar (Burma)",1,1,1997,97.668024,21.272245
"Myanmar (Burma)",1,1,2004,97.668024,21.272245
"Myanmar (Burma)",1,1,2002,97.668024,21.272245
"Myanmar (Burma)",1,1,2004,97.668024,21.272245
"Myanmar (Burma)",1,1,1999,97.668024,21.272245
"Myanmar (Burma)",1,1,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,2005,97.668024,21.272245
"Myanmar (Burma)",1,1,2002,97.668024,21.272245
"Myanmar (Burma)",2,4,2003,97.668024,21.272245
"Myanmar (Burma)",2,2,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,1997,97.668024,21.272245
"Myanmar (Burma)",1,1,1999,97.341751,19.49125
"Myanmar (Burma)",1,1,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,2003,97.668024,21.272245
"Myanmar (Burma)",1,1,2011,97.563333,24.76
"Myanmar (Burma)",1,1,2009,98.765042,23.690225
"Myanmar (Burma)",1,1,2009,98.765042,23.690225
"Myanmar (Burma)",1,1,1990,97.746222,22.942711
"Myanmar (Burma)",1,1,1995,96.807614,19.216667
"Myanmar (Burma)",1,1,2004,98.025556,20.800556
"Myanmar (Burma)",1,1,2001,98.025556,20.800556
"Myanmar (Burma)",1,1,2000,97.341751,19.49125
"Myanmar (Burma)",1,1,2000,97.341751,19.49125
"Myanmar (Burma)",1,1,1999,97.341751,19.49125
"Myanmar (Burma)",1,1,1998,97.563889,20.925
"Myanmar (Burma)",1,1,1996,97.341751,19.49125
"Myanmar (Burma)",1,1,1999,97.341751,19.49125
"Myanmar (Burma)",1,1,1996,97.341751,19.49125
"Myanmar (Burma)",1,1,2007,96.729161,18.633767
"Myanmar (Burma)",1,1,2000,97.209444,19.674167
"Myanmar (Burma)",1,1,2011,97.209444,19.674167
"Myanmar (Burma)",1,1,2008,97.209444,19.674167
"Myanmar (Burma)",1,1,2011,96.597658,25.195076
"Myanmar (Burma)",2,2,1997,97.563889,20.925
"Myanmar (Burma)",2,2,2000,97.563889,20.925
"Myanmar (Burma)",1,1,1998,97.563889,20.925
"Myanmar (Burma)",1,1,1994,97.563889,20.925
"Myanmar (Burma)",1,1,2001,97.563889,20.925
"Myanmar (Burma)",1,1,1996,97.75,16.25
"Myanmar (Burma)",1,1,2011,97.863931,22.615957
"Myanmar (Burma)",1,1,1995,97.281233,17.577972
"Myanmar (Burma)",1,1,2006,96.729161,18.633767
"Myanmar (Burma)",1,1,2006,96.729161,18.633767
"Myanmar (Burma)",1,1,2007,96.729161,18.633767
"Myanmar (Burma)",1,1,2008,96.729161,18.633767
"Myanmar (Burma)",1,1,1996,96.729161,18.633767
"Myanmar (Burma)",1,1,2008,96.729161,18.633767
"Myanmar (Burma)",1,1,2008,96.729161,18.633767
"Myanmar (Burma)",1,1,2008,96.729161,18.633767
"Myanmar (Burma)",1,1,2007,96.729161,18.633767
"Myanmar (Burma)",1,1,2006,96.0,21.0
"Myanmar (Burma)",2,4,1997,96.083333,22.0
"Myanmar (Burma)",1,1,2007,92.539136,21.088739
"Myanmar (Burma)",1,1,1989,97.678028,17.836972
"Myanmar (Burma)",2,2,1992,97.678028,17.836972
"Myanmar (Burma)",2,4,1992,97.678028,17.836972
"Myanmar (Burma)",1,1,1991,97.678028,17.836972
"Myanmar (Burma)",1,1,1991,97.678028,17.836972
"Myanmar (Burma)",1,1,1995,97.678028,17.836972
"Myanmar (Burma)",2,2,1991,97.678028,17.836972
"Myanmar (Burma)",2,4,1992,97.678028,17.836972
"Myanmar (Burma)",1,1,2008,97.851753,15.761408
"Myanmar (Burma)",1,1,1991,97.678028,17.836972
"Myanmar (Burma)",2,2,1990,97.678028,17.836972
"Myanmar (Burma)",1,1,1990,97.678028,17.836972
"Myanmar (Burma)",2,4,1991,97.678028,17.836972
"Myanmar (Burma)",1,1,1992,97.678028,17.836972
"Myanmar (Burma)",2,4,1992,97.678028,17.836972
